username,tweet_raw,cluster,topik_dominan
txtdaritaxpayer,"Udah bener itu BBM Non Subsidi naik. Karena memang price marketnya tinggi. 

Langkah tepat juga pertalite ditahan tetap 10.000 biar inflasi bisa terkendali.

Dan pertamax, dibikin naik tipis biar konsumen ga switch ke pertalite semua yg bisa bikin pertalite langka.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
SarjanaEksu,"Harga BBM non subsidi naik trus marah.

Ya WAJAR DONG BLOG KLO NAIK NAMANYA JG NON SUBSIDI

SALAHIN SETANYAHU YANG HORNY BANGET NGAJAK IRAN PERANG",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
restuufk,"Hari ini BBM Non Subsidi naik:
Pertamax Turbo 
dari Rp13.100 jadi Rp19.400
  
Dexlite
dari Rp14.200 jadi Rp23.900

selanjutnya apakah ga menutup kemungkinan yang subsidi seperti Pertalite dan Pertamax kedepannya akan naik juga?
Menurut kalian gimana? https://t.co/V8mC2lSf8y",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
sharpandshark,"Pertamina menaikan harga BBM non Subsidi.

Pertamax Turbo (Ron 98) - naik⬆️
Rp 13.100 jadi Rp 19.400
Dexlite -naik⬆️
Rp 14.200 jadi Rp 23.600
Pertamina Dex  - naik⬆️
Rp 14.500 jadi Rp 23.900
Pertamax - tetap↔️
Rp 12.300 jadi Rp 12.300
Pertalite - Tetap ↔️
Rp 10.000 - Rp 10.000 https://t.co/ZNg5TxGRdl",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
pilubos,"BBM non subsidi naik gila-gilaan dibarengi erupsi gunung Semeru. 

Industri di Lumajang-Malang sedang menangis dan diselimuti abu vulkanik. 

Yang diatas berpesta sedangkan yang dibawah terkena bencana. 

Nasib jadi WNI harus bisa cari makan sendiri. https://t.co/hFOxRWKSXL",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
bennyhawe,"Pertamina baru aja naikin harga beberapa BBM non-subsidi secara cukup tajam. Pertamax Turbo langsung loncat dari Rp13.100 jadi Rp19.400 per liter. Dexlite naik dari Rp14.200 menjadi Rp23.600, dan Pertamina Dex dari Rp14.500 ke Rp23.900. Sementara Pertalite dan Biosolar tetap aman",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Milantoon,"orang² yang ngakunya intelektual di X [citation needed] marah² ketika bbm non-subsidi naik, mereka mengaku kasihan dengan beban yang diranggung rakyat 🥲

sebelumnya mereka juga gelisah harga bbm tidak naik, karena kasihan dengan APBN yang harus menanggung itu semua 🥲",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
nova_dharma_pm,"@nozelism Menurut gue, mengingat ada beberapa kendaraan yang sebenarnya bisa pake BBM subsidi tapi karena usernya orang kaya mereka pake yang non subsidi, karena non subsidinya naik begini mereka pindah ke subsidi juga.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
odjie85,"@adrianusagi @MiskinTV_ Sebelum nyap nyap mbok ya mikir dulu bang. Turbo itu non subsidi kan? Untuk mobil mewah kan? Alhamdulillah dong ya baru naik sekarang turbo-nya, ketika BBM negara-negara lain udah naik dari bulan lalu.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
OverseasIndomie,"@unmagnetism yg lucu tuh yg naik BBM non subsidi, tapi barang barang ikutan naik dengan alasan Logistik, padahal logistik tuh minum solar subsidi.",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
nozelism,"“yaelah bbm non subsidi doang yg naik, ga ngaruh ke gw”

Yang naik emg bkn subsidi, tp bbm non subsidi dipake sektor logistik dan industri. Ongkos kirim naik —&gt; biaya produksi naik —&gt; harga barang ikut naik. Ujungnya ya kita ttp kena dampak.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
txtdrbekasi,"BBM Subsidi gak naik, sedangkan yang non-subsidi naik gila gilaan.

Kira kira, apa ya yang dikorbankan dari gak naiknya BBM non-subsidi?",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
_ahmdrafli_,"pak bahlil blg bbm tidak akan naik, nyatanya bbm non subsidi naik perhari ini

kalo bos saya kebalik, tahun lalu bilang katanya gaji naik nyatanya sampe perhari ini ga naik naik wkwkw",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
diovergen,"@Teramat_ @ezash @lovamarciano Jangan berfikir bahwa bbm non subsidi gk naik, gak akan mempengaruhi hal yg lain. Tetep aja pasti punya domino effect.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
fat_bry,"@hrdbacot Ciyeee biar inget terus ma ultah Bunted, senegara dikasih harga bbm non subsidi naik

Hahahahhaa",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Duniawni,"Gesss di catat yaaa yang naik BBM non-subsidi, jangan mau di adu domba yakkk https://t.co/KdHYOBkwBz",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
MasQomaru,"@bigdigjohnny Kok Tolol kau @bigdigjohnny 

BBM yg mahal kan non subsidi, wajar ikut harga dunia. Justru aneh kalo Bbm PERTAMAX DEX ditahan harganya &amp; harus disubsidi silang oleh pertamina. Memank harus naik..

Dan itupun kenaikanya masih lebih murah dari Bbm Non subsidi dikawasan asean.",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
kalistohenituse,"Resmi per 18 April 2026 harga BBM Non Subsidi Pertamina Turbo, Dex dan Dexlite naik 😳😱 Sedangkan Pertamax &amp; Green terpantau masih sama 👀 

Turbo 13100 &gt; 19400
Dex 14500 &gt; 23900
Dexlite 14200 &gt; 23600

Kemungkinan jika Pertamax naik bakal ke 18500 dari 12300 🫠🫠 https://t.co/L7fxUCWSnO",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
notfound7_,"✅ RESMI : Harga 3 jenis BBM non subsidi naik drastis per hari ini. 

Pertamax 12.300 &gt; 12.300
Pertamax Green 95 12.900 &gt; 12.900
Pertamax Turbo 13.100 &gt; 19.400
Dexlite 14.200 &gt; 23.600
Pertamina Dex 14.500 &gt; 23.900
Tebak apa yang akan naik ? Atau ada yg hrganya sudab naik duluan?",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
MardaniAliSera,"Pasti berat bagi pemerintah manaikkan BBM non subsidi. Tapi apresiasi karena pertalite dan partamax tidak naik. Kelas menengah tetap dijaga. 

Tapi jalan menanjak masih panjang. Pemerintah punya jendela sempit menaikkan pertumbuhan ekonomi di atas 5%. Tidak mudah tapi wajib",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
infomalang,"Harga BBM non subsidi: Pertamax Turbo, Dex dan Dexlite naik per hari ini. 

Pertamax Turbo: 13.100 &gt;&gt; 19.400
Dexlite: 14.200 &gt;&gt; 23.600
Dex: 14.500 &gt;&gt; 23.900

Untuk pertamax dan pertalite masih tetap harga lama

https://t.co/z4THd1Ozu2",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
bbluueeyy,Karena pabrik2 mesin semua industri rata rata gapake bbm non subsidi.. ini berdampak ke banyak hal. Bahan pokok naik dan efisiensi kantor bakal diperketat..,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
TxtdariHI,"@ezash @hrdbacot BBM non subsidi naik hampir bersamaan dengan Selat Hormuz dibuka. Bukan ahli ekonomi, tapi semoga aja kenaikan ini cuman sementara karena costnya tinggi juga ke logistik",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
idextratime,"✅ RESMI : Harga 3 jenis BBM non subsidi naik drastis per hari ini. 

Pertamax 12.300 &gt; 12.300
Pertamax Green 95 12.900 &gt; 12.900
Pertamax Turbo 13.100 &gt; 19.400
Dexlite 14.200 &gt; 23.600
Pertamina Dex 14.500 &gt; 23.900",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
hguyandi,@MiskinTV_ Non subsidi mengikuti harga minyak dunia. Jadi sangat wajar harga BBM non subsidi naik. Malah aneh kalo BBM non subsidi yg seharusnya buat orang yg mampu malah ikut disubsidi.,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
trunkszoldyck,"Bbm subsidi gak naik, bbm non subsidi naik dratis🔥 https://t.co/PCkPqCyvEc",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
Jakartalk,"Cerdas! Strategi pemerintah menahan subsidi pertalite supaya harga jual ke masyarakat “miskin” tetap stabil itu langkah cerdas. 

Menurut keyakinan saya, mereka menaikan BBM non-subsidi secara ugal-ugalan untuk menutupi membengkaknya subsidi untuk pertalite. Karena jelas pengguna https://t.co/uvrVCaEGS6",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Imade_kun,"Non subsidi udah pasti naik, lagian juga kayak lu pada beli aja. Biasa beli pertalite sok ributin bbm non subsidi.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
eviy86,@habolabo Harga bbm non subsidi  naik bang😊🙏,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
merdekadotcom,BBM non-subsidi Pertamina resmi naik mulai hari ini — Pertamina Dex meroket jadi Rp 23.900 per liter. Penyesuaian yang perlu diantisipasi pengguna BBM non-subsidi. #BBM #Pertamina https://t.co/n1lLfXW7JI,1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
SerieA_Lawas,"Update harga BBM Non subsidi

Pertamax naik dikit. 
Pertamina Dex naik hampir 2x lipat. https://t.co/376gXwdRRw",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
13_iwaN,"Yg naik banyak harga solar non subsidi, naik 70%. Mungkin pengguna mobil bensin masih agak lega melihat pertamax 92 tidak naik harga. 

Tapi para pengguna fortuner, pajero sport, Mitsubishi Triton, land cruiser, Mercedes Benz diesel, BMW diesel yaaahh semoga masih ikhlas semakin",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
rsngprad,"Ini BBM Non Subsidi kan naik nih, kira-kira bakal berdampak ga ke kalian?

Baik secara langsung atau tidak langsung",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
unmagnetism,"harga bbm non subsidi naik 
tebak apa yg ikutan naik juga?",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
hnldbus,"Gila narasinya, kan yang naik non subsidi BBM orang kaya.

Kemarin suruh naik sekarang naik protes nya buat BBM non subsidi

Yang protes paling kencang yang pakai pertalite...",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
satyaXBT,"Buset dah.. harga minyak dunia pelan-pelan udah turun karena war mulai reda, ini malah naikin harga BBM

""Bang, tapi kan yang naik cuma non-subsidi""

Iya paham, tapi liat persentase naiknya

Dexlite dari 14.200 langsung loncat ke 23.600, itu naik 66% sendiri

Impactnya https://t.co/gPAue1NIp1",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
liputan6dotcom,"Harga 3 jenis BBM Pertamina resmi naik mulai hari ini. BBM subsidi tidak ikut naik, tapi varian non-subsidi mengalami penyesuaian. Cek rinciannya sebelum ke SPBU. #BBM #Pertamina https://t.co/kTRxlkGUlt",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
iniabangbaik,"Kenapa naiknya sangat tinggi sekali??

Selain faktor utama harga minyak dunia yang lagi naik, faktor lainnya karena pemerintah nerapin subsidi silang. Margin keuntungan dari penjualan BBM non-subsidi yang harganya dilepas ke pasar tujuannya buat jaga arus kas supaya tetap bisa",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
geloraco,"Harga BBM Non Subsidi Naik, Pertamax Turbo dan Dexlite Nyaris Rp24 Ribu per Liter
https://t.co/FqlGHFWZ2W",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
amelamalia2088,BBM Non-Subsidi Naik Gila-Gilaan! Pertamax Turbo Tembus Rp19.400 per Liter https://t.co/ILlfOUPYyT lewat @KanalnewsC #hargabbmnaik #bbmnonsubsidi,1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
KangSemproel,"Alhamdulillah
Berkat kepiawaian bahlil. Maka harga BBM bersubsudi tdk naik.

Klo ada yg ngegas bilang hari ini BBM naik, tinggal ngeles aja, yg naik kan yg non subsidi.

Klo nanti BBM subsidi hilang dari SPBU, tinggal ngeles lagi: kan masih ada yg non
😏
https://t.co/1Cwef3lrmc https://t.co/I3gSlhUO8u",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Jateng_Twit,Harga BBM Non Subsidi Naik per 18 April 2026 https://t.co/v9XSR4BOVz,1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
SeekHustle,"@myron_pi Kemarin kan dia ngomong, harga BBM subsidi tidak akan naik. Yg dinaikin yg non subsidi 😅",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
sigitwid,"Angkat topi untuk pemerintahan Prabowo-Gibran yang tetap menjaga harga Bio Solar, Pertalite, dan BBM non-subsidi hingga RON 95 tidak naik di tengah gejolak geopolitik dunia saat ini.

Negara terus hadir untuk menjaga dan melindungi rakyat. 👍 https://t.co/ZOqW4ti3ql",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
MiskinTV_,"Dampak kenaikan BBM non Subsidi yang menurut gw kenaikannya cukup drastis:
- Beberapa pengguna akan beralih ke BBM non Subsidi atau mencampur.
- karena kenaikan permintaan dan penggunaan, pertalite jd langka.
- Anggaran pemerintah tak kuasa membendung subsidi, akhirnya naik jg https://t.co/8QwpUTkAbd",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
LambeSahamjja,"Resmi nih per 18 April 2026, harga BBM non-subsidi naik
Yang naik itu Pertamina Turbo, Dex, sama Dexlite, sedangkan Pertamax &amp; Green masih aman (belum berubah)

Update harganya:
Turbo: 13.100 ➝ 19.400
Dex: 14.500 ➝ 23.900
Dexlite: 14.200 ➝ 23.600 https://t.co/lNGJX4y9Qo",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Catatan_ali7,"Beberapa Minggu lalu Bisa nahan Harga BBM 

sempat dijadikan BAHAN COLI manusia  Hina Buzzer rupiah anjing

Abis ini mau alasan apalagi ? Mau Alesan yg naik BBM NON SUBSIDI ?

Lagu laguan dukung BBM NAIK inget pernah Ditahap Nipu dan jual kesedihan hanya untuk makan sehari hari https://t.co/qsL7SnKPvb",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
SmwGwOto,"RON 92 kebawah harganya tetap, diatas RON 92 naik.

BBM diesel non subsidi naik semua. https://t.co/x2K3HxyoBZ",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
_katakita08,"BBM non Subsidi sudah naik gaeeeeesss! Berkat Baginda Bahlil. 

BBM = Bahan Bakar Mahal
BBB = Berkat Baginda Bahlil https://t.co/fqcPtnkwLh",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
LambeResing,"🚨 NAIK DRASTIS! Per 18 April 2026, harga bensin non-subsidi melonjak lebih dari 50%, mengikuti harga minyak dunia.

Hari ini, kenaikan dialami oleh BBM nonsubsidi Pertamina:

Pertamax Turbo = Rp13.100 ⏩️ Rp19.400
DexLite = Rp14.200 ⏩️ Rp23.600
Pertamina Dex = Rp14.500 ⏩️ https://t.co/VJTm97oNdB",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
SeekHustle,"🚨 BREAKING 🚨

HARGA BBM NON SUBSIDI RESMI NAIK.

Pertamax Turbo:
Rp13.100  → Rp19.400 (48,1%)
Dexlite:
Rp14.200 → Rp23.600 (66,2%)
Pertamina Dex:
Rp14.500 → Rp23.900 (64,8%)",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
SobatBandar,"❗BBM non-subsidi Pertamina naik ❗

Diam-diam, Pertamina menaikkan harga Pertamax Turbo jadi 19.400 (+48%), Dexlite 23.900 dan Dex 23.600 (+64%).

Tadi malam, Iran sudah membuka selat Hormuz utk umum dan harga $USOIL ambrol -12% ke angka 83 https://t.co/h4R5WM7QOV",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Kingskayl,"Cuma di konoha BBM non subsidi naik, ketika selat hormuz di buka kembali, dan harga minyak dunia sedang turun.

Udah kuduga cuma ngabisin stock lama aja itu kemarin-kemarin. https://t.co/Y8KEqptfHW",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
yusufgunawan,"Harga BBM non subsidi naik per 18 April 2026. 
Ini mah bukan naik tapi ganti harga 😁😁

Bukannya kapan hari ada yang bilang jangan naikkan harga secara berlebihan ya? 😁😁 https://t.co/NPdv8irO60",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
rgoestama,"Sesuai dugaan, bbm non subsidi akhirnya naik harganya. Pertamax naik tp gak se tinggi kenaikan si Turbo, mencegah user Pertamax pd pindah ngisi Pertalite.

Krn pasti beban subsidi di Pertalite skrg pasti udah ngos2an bgt.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
usercyclop,Ini serius bbm non subsidi pertamax turbo naiknya sampai 19.400 😭 tiba tiba bgt perasaan kmaren blm naik https://t.co/HwTu0fcyHS,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
liputan6dotcom,BBM subsidi dijamin tidak naik — tapi bagaimana dengan harga Pertamax dan BBM non-subsidi lainnya? Jawaban yang dinantikan jutaan konsumen. #BBM #Pertamax #Energi https://t.co/fjITnpbK4H,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
jawapos,https://t.co/QjGFR3AcnD,2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
Ndons_Back,"@Jordameds @are_inismyname @prabowo @gibran_tweet @99propaganda @BANGSAygSUJUD @FDonghun @florieliciouss @Kimberley_PS08 @DarekaRendy @IrawanRommi @coldbrew165 @kiwalipitu Kapan naik harga BBM non-subsidi (seperti Pertamax, Pertamax Green, Pertamax Turbo, Dexlite, dan Pertamina Dex) tidak naik per April 2026 

Emang kendaraan umum pakai pertamax, pertamax Turbo, Dexlite?",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
eddesign_,"@KawitSaja87137 @SungaiNil3 Ha ha 😂 

Daripada dibikin pusing baoak raja, mending nonton ""Senin Harga Naik"" bro! Sebelum BBM non-subsidi naik.",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
tomatskillo,"Aneh kalo banyak komentator musiman, pengamat musiman bikin narasi Indonesia chaos, inflasi tinggi,harga BBM subsidi naik.
Mereka ini sebenarnya waras ato tdk sih?
Seskab Teddy jelasin harga BBM subsidi tdk naik, non subsidi relatif stabil. Ini bukan omon², ini fakta dilapangan. https://t.co/HstbJb9lHX",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
idx_channel,"Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia mengatakan, rencana kenaikan BBM nonsubsidi hingga saat ini masih dalam kajian pemerintah. Meskipun harga minyak dunia telah menyentuh USD100 per barel. 

Bahlil menuturkan, pembahasan terkait penyesuaian harga BBM https://t.co/EvSlBuhoTc",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
miqbalhm1,"Kalian ngerasa juga kah, makin ke sini, pertalite sering gak tersedia dia SPBU? Yang sering tersedia justru Pertamax. Kemarin di sepanjang jalan dari Semarang-Kendal, hanya ada satu SPBU yg menyediakan pertalite, dan itu antrinya sudah kayak naga Kaido. 

Apakah ada indikasi https://t.co/CLJ1PBRSTM",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
IESR,"Dear Pak @prabowo 

Mau mengingatkan saja nih kalau #APBN adalah uang pajak rakyat. Jika defisit melebar dan utang bertambah, pada akhirnya rakyat juga yang akan menanggung bebannya.

Nah, untuk itu, pemerintah perlu menyiapkan strategi yang lebih rasional, bukan sekadar",3,"Diskusi mengenai rp, subsidi, non, harga, utang"
gen_Z_speak,@angga_fzn Bbm non subsidi itu gk naik y karena bumn waktu minyak dunia harganya anjlok bumn gk nurunin harga bbm. Untungnya gede. Skrng gantian,0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
BoloneWilliam,"@frdzlhkmm @Yulcandothis @KkkMirul0441 @indepenSumatera mlydesh jg kena tipu anwar. Pertamina ada skandal tp takde naik harga petrol di indo. Indo impor bbm dr malaydesh tp indo takde naik harga bbm subsidi &amp; non subsidi sedangkan mlydesh eksportir bbm tp naikan harga bbm, pembelian bbm dibatasi &amp; kuota dikurangi, how GOBLOK is that😂",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
inisayasendiril,"@b0nnysidharta Ya emang tugas pemerintah itu ngakalin BBM bersubsidi biar gak naik cil ataupun kalo naik gak bikin rakyat tercekik.
Kalo plastik + BBM non subsidi mengikuti harga bahan baku lahhh otaknya dimana 
Gitu aja gak bisa mikir",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
reversiblefigs,"@_n0t4lfiaccount Kalau BBM subsidi semakin dibatasi &amp; harga non subsidi naik (apalagi kalau langka), prediksi gue kita akan melihat trend kriminalitas baru: Begal bensin, terutama pada motor dan mobil yang diparkir di area sepi.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
mesatu_,"@flowerbean_I Betul, BBM non-subsidi bakal ikut fluktuasi harga minyak dunia. Mei 2026 kemungkinan besar naik harganya.

Kalau global lagi mahal, pasti pertamax Cs naik. Susah kalau maksa nahan harga pertamax Dkk. Bakal berat ke APBN.",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
NenkMonica,"BBM SUBSIDI TIDAK AKAN NAIK SAMPAI AKHIR TAHUN 2026.

Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa menegaskan bahwa harga Bahan Bakar Minyak (BBM) bersubsidi akan tetap stabil dan tidak mengalami kenaikan hingga akhir tahun ini, meskipun harga minyak dunia tengah naik akibat https://t.co/X7eceIYZs9",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
yanzero_,"1. BBM subsidi tidak naik sampai Desember. Artinya BBM non-subsidi akan mengikuti harga pasar alias naik
2. Harga Avtur menyesuaikan pasar, ada bantuan pemerintah 9-13% dari harga tiket. Artinya harga tiket pesawat akan naik.

https://t.co/P0C4LH2nMh",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
tribunnews,"Purbaya menegaskan bahwa pemerintah siap menjaga harga BBM subsidi tidak naik hingga akhir tahun. Hal ini menjadi komitmen untuk melindungi masyarakat dari dampak fluktuasi harga minyak dunia.

Ia menjelaskan bahwa kebijakan ini hanya berlaku untuk BBM subsidi. Harga BBM https://t.co/3TJUfQadR6",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
RadioElshinta,"Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa memastikan harga Bahan Bakar Minyak (BBM) bersubsidi tidak akan naik, hingga akhir tahun ini, meskipun harga minyak dunia terus meningkat akibat perang Iran - Irael - AS. Dalam rapat di DPR hari ini, Purbaya juga menyinggung ada https://t.co/E7e6SZPRFc",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
Metro_TV,"Menteri Energi dan Sumber Daya Mineral (ESDM), Bahlil Lahadalia, secara resmi mengumumkan bahwa pemerintah belum akan melakukan penyesuaian harga pada BBM subsidi, baik naik maupun turun. Dalam keterangan persnya dari Seoul, Korea Selatan, Selasa (31/03/2026), Bahlil menegaskan https://t.co/LV6WT7BDrE",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
arisw89,@txtfromkeuangan Bbm non subsidi naik jd Rp 17rb per liter info darimana nih? Bisa dicantumkan sumber yg jelas?,0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
oreocheese99,"pom bensin antri semua ges gila emang, di lebak bulus udh ada announcement yg naik bbm non subsidi😔",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
ArdiMardita,"Kalau bbm non subsidi jadi naik setinggi itu, apa kalian masih kuat isi pertamax?",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
ArvinHonami,"Hasil Konferensi Pers Pemerintah:
- BBM Non Subsidi dipastikan tidak naik
- BBM Subsidi akan dikaji ulang dengan pihak terkait perihal adjustment
- Stok BBM dalam negeri dipastikan aman
- PNS Pusat dan Daerah akan WFH setiap hari Jumat

Apa lagi guys? 🤔🤔",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
Roari_ARB,"@LambeSahamjja BBM non-subsidi naik‑turun itu wajar karena ikut harga pasar. Yang jadi deg-degan justru kode “tunggu tanggal mainnya” untuk BBM subsidi. Kalau ini berubah, dampaknya langsung ke rakyat kecil. Pemerintah lagi hitung risiko sebelum ambil langkah.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
BigAlphaID,"Hasil konferensi pers Pemerintah mengenai harga BBM nasional.
- Pemerintah menjamin semua stok aman untuk semua jenis BBM (solar &amp; bensin).
- Harga BBM bersubsidi dipastikan tidak akan naik.
- Harga BBM non-subsidi masih akan dilakukan pembahasan dengan semua pihak terkait.",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
LinggisSabit,"@LambeSahamjja Masyarakat hrs Mikir
➡️ BBM NON SUBSIDI = HARGA NAIK SESUAI PASAR = ~ 30K/liter
➡️ BBM SUBSIDI DIBATASI PEMBELIANNYA Maks 50 liter per hari Khusus JENIS KENDARAAN Tertentu
✅ Otomatis yg Berdampak ke BATAS DEFISIT APBN &gt; 3% = BBM Subsidi Rakyat Kecil

HAPUS MBG supy APBN gk Minus",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
dewdewdwi,"@LambeSahamjja Masalahnya kalo gap nya terlalu besar, penggunaan bbm subsidi akan naik drastis, pd akhirnya anggaran subsidi akan bengkak, atau kalau pakai kuota ya bbm subsidi bakal langka. Ujung² nya masyarakat dirugikan juga dgn adanya kenaikan bbm non subsidi",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
aji_mahatma,"@urya_suryana @LambeSahamjja yak betul, setuju dengan statemen ini. Bagi sebagian orang pasti akan beralih yg subsidi jika selisih harganya jauh. Jadi misalpun gak naik BBM non subsidi bisa jadi malah langka karena demandnya meningkat 😅",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
AD1T_RG,"@LambeSahamjja Antara ucapan Bahlil sm Mensekneg beda, Bahlil blg non subsidi naik tdk ada mslh krn ngikutin harga pasar,tp Sekneg lain lg crtnya blg kl BBM non sub dan subsidi tidak naik kesanya malah pemerintah membela org2 kaya yg pk pertamax cs.",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
urya_suryana,"@LambeSahamjja Dari dulu BBM non subsidi di serahkan pada mekansime pasar. Bahkan naik atau turun tak d umukan cukup di website dan edaran oleh manager spbu. Masalhnya jika gap harga terlalu jauh orang akan beralih ke subsidi, itu amsalahnya",2,"Diskusi mengenai subsidi, non, harga, pertamax, pertalite"
LambeSahamjja,"Guys, Bahlil Lahadalia akhirnya buka suara soal BBM, dan intinya cukup nyelekit.

Dia bilang, BBM non-subsidi itu dari sananya memang ngikut harga pasar. Jadi mau diumumin atau nggak, mau naik atau turun, ya tetap bakal bergerak sesuai harga minyak dunia. Nggak ada intervensi https://t.co/VF42STu9AX",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
HunterRevi,"Breaking News: Harga BBM Subsidi-Non Subsidi Tak Naik Besok

Sc: CNBC Indonesia https://t.co/yMXNMZGCz0",0,"Diskusi mengenai subsidi, non, harga, rakyat, indonesia"
neVerAl0nely___,"Menteri Sekretaris Negara Prasetyo Hadi memastikan harga bahan bakar minyak (BBM) subsidi dan non-subsidi tidak akan naik, menyusul kenaikan harga minyak mentah dunia. Pemerintah juga telah berkoordinasi dengan Pertamina terkait hal ini. Prasetyo menegaskan, pemerintah menjamin https://t.co/ltW3XvaVWn",1,"Diskusi mengenai harga, subsidi, non, pertamax, rp"
